Symbol,Date,Close
MMM,2019-05-29,161.4
MMM,2019-05-30,160.58
MMM,2019-05-31,159.75
MMM,2019-06-03,160.04
MMM,2019-06-04,164.29
MMM,2019-06-05,163.85
MMM,2019-06-06,164.72
MMM,2019-06-07,166.61
MMM,2019-06-10,168.29
MMM,2019-06-11,168.91
MMM,2019-06-12,169.01
MMM,2019-06-13,168.85
MMM,2019-06-14,166.69
MMM,2019-06-17,166.78
MMM,2019-06-18,171.86
MMM,2019-06-19,170.75
MMM,2019-06-20,173.94
MMM,2019-06-21,173.35
MMM,2019-06-24,173.38
MMM,2019-06-25,172.03
MMM,2019-06-26,171.88
MMM,2019-06-27,171.5
MMM,2019-06-28,173.34
MMM,2019-07-01,174.51
MMM,2019-07-02,174.02
MMM,2019-07-05,172
MMM,2019-07-08,169.19
MMM,2019-07-09,165.7
MMM,2019-07-10,165.7
MMM,2019-07-11,169.04
MMM,2019-07-12,173.34
MMM,2019-07-15,172.84
MMM,2019-07-16,176.49
MMM,2019-07-17,174.67
MMM,2019-07-18,173.06
MMM,2019-07-19,172.61
MMM,2019-07-22,174.64
MMM,2019-07-23,177.52
MMM,2019-07-24,179.42
MMM,2019-07-25,178.13
MMM,2019-07-26,173.98
MMM,2019-07-29,176.76
MMM,2019-07-30,177.63
MMM,2019-07-31,174.72
MMM,2019-08-01,173.36
MMM,2019-08-02,170.55
MMM,2019-08-05,164.71
MMM,2019-08-06,163.71
MMM,2019-08-07,163.64
MMM,2019-08-08,164.22
MMM,2019-08-09,163.47
MMM,2019-08-12,162.1
MMM,2019-08-13,164.88
MMM,2019-08-14,158.81
MMM,2019-08-15,156.84
MMM,2019-08-16,161.5
MMM,2019-08-19,162.95
MMM,2019-08-20,161.01
MMM,2019-08-21,161.15
MMM,2019-08-22,160.88
MMM,2019-08-23,155.85
MMM,2019-08-26,156.12
MMM,2019-08-27,155.75
MMM,2019-08-28,157.55
MMM,2019-08-29,160.36
MMM,2019-09-03,158.64
MMM,2019-09-04,160.07
MMM,2019-09-05,164.23
MMM,2019-09-06,163.94
MMM,2019-09-09,165.94
MMM,2019-09-10,168.86
MMM,2019-09-11,168.08
MMM,2019-09-12,170.58
MMM,2019-09-13,171.44
MMM,2019-09-16,169.67
MMM,2019-09-17,168.07
MMM,2019-09-18,167.44
MMM,2019-09-19,167.07
MMM,2019-09-20,166.76
MMM,2019-09-23,166.76
MMM,2019-09-24,164.74
MMM,2019-09-25,164
MMM,2019-09-26,163.83
MMM,2019-09-27,164.53
MRK,2019-03-20,82.08
MRK,2019-03-21,82.95
MRK,2019-03-22,82.29
MRK,2019-03-25,82.35
MRK,2019-03-26,82.92
MRK,2019-03-27,82.29
MRK,2019-03-28,82.63
MRK,2019-03-29,83.17
MRK,2019-04-01,83.3
MRK,2019-04-02,83.21
MRK,2019-04-03,83.18
MRK,2019-04-04,81.85
MRK,2019-04-05,81.15
MRK,2019-04-08,80.95
MRK,2019-04-09,80.8
MRK,2019-04-10,80.82
MRK,2019-04-11,79.84
MRK,2019-04-12,79.43
MRK,2019-04-15,78.53
MRK,2019-04-16,77.56
MRK,2019-04-17,73.92
MRK,2019-04-22,73.46
MRK,2019-04-23,74.6
MRK,2019-04-24,74.73
MRK,2019-04-25,76.34
MRK,2019-04-26,76.63
MRK,2019-04-29,76.78
MRK,2019-04-30,78.71
MRK,2019-05-01,78.72
MRK,2019-05-02,79.52
MRK,2019-05-03,80
MRK,2019-05-06,79.48
MRK,2019-05-07,77.9
MRK,2019-05-08,78.18
MRK,2019-05-09,78.33
MRK,2019-05-10,78.19
MRK,2019-05-13,77.17
MRK,2019-05-14,77.42
MRK,2019-05-15,77.55
MRK,2019-05-16,79.13
MRK,2019-05-17,78.72
MRK,2019-05-20,78.88
MRK,2019-05-21,79.5
MRK,2019-05-22,80.98
MRK,2019-05-23,81.02
MRK,2019-05-28,80.26
MRK,2019-05-29,79.36
MRK,2019-05-30,79.68
MRK,2019-05-31,79.21
MRK,2019-06-03,80.26
MRK,2019-06-04,81.08
MRK,2019-06-05,81.69
MRK,2019-06-06,81.44
MRK,2019-06-07,82.46
MRK,2019-06-10,82.48
MRK,2019-06-11,82.98
MRK,2019-06-12,83.71
MRK,2019-06-13,82.9
MRK,2019-06-14,82.78
MRK,2019-06-17,83.3
MRK,2019-06-18,84.49
MRK,2019-06-19,85.36
MRK,2019-06-20,84.6
MRK,2019-06-21,84.57
MRK,2019-06-24,85.51
MRK,2019-06-25,85.24
MRK,2019-06-26,83.54
MRK,2019-06-27,83.83
MRK,2019-06-28,83.85
MRK,2019-07-01,84.75
MRK,2019-07-02,85.51
MRK,2019-07-05,85.6
MRK,2019-07-08,84.04
MRK,2019-07-09,84.86
MRK,2019-07-10,84.82
MRK,2019-07-11,81
MRK,2019-07-12,79.73
MRK,2019-07-15,80.96
MRK,2019-07-16,81.59
MRK,2019-07-17,81.92
MRK,2019-07-18,82.69
MRK,2019-07-19,81.39
MRK,2019-07-22,81.21
MRK,2019-07-23,82.03
MRK,2019-07-24,81.75
MRK,2019-07-25,81.75
MRK,2019-07-26,81.43
MRK,2019-07-29,82.49
MRK,2019-07-30,83.27
MRK,2019-07-31,82.99
MRK,2019-08-01,83.69
MRK,2019-08-02,84.47
MRK,2019-08-05,83.12
MRK,2019-08-06,84.35
MRK,2019-08-07,84.25
MRK,2019-08-08,84.73
MRK,2019-08-09,85.52
MRK,2019-08-12,85.02
MRK,2019-08-13,86.08
MRK,2019-08-14,83.4
MRK,2019-08-15,83.46
MRK,2019-08-16,85.06
MRK,2019-08-19,86.19
MRK,2019-08-20,85.65
MRK,2019-08-21,86.91
MRK,2019-08-22,86.72
MRK,2019-08-23,84.94
MRK,2019-08-26,85.88
MRK,2019-08-27,85.52
MRK,2019-08-28,86.48
MRK,2019-08-29,86.72
MRK,2019-09-03,86.65
MRK,2019-09-04,86.05
MRK,2019-09-05,86.1
MRK,2019-09-06,86.57
MRK,2019-09-09,83.47
MRK,2019-09-10,81.69
MRK,2019-09-11,82.92
MRK,2019-09-12,83.31
MRK,2019-09-13,82.61
MRK,2019-09-16,82.03
MRK,2019-09-17,82.51
MRK,2019-09-18,83.02
MRK,2019-09-19,83.97
MRK,2019-09-20,85.16
MRK,2019-09-23,84.36
MRK,2019-09-24,83.6
MRK,2019-09-25,83.1
MRK,2019-09-26,83.88
MRK,2019-09-27,82.91
MSFT,2019-03-20,117.52
MSFT,2019-03-21,120.22
MSFT,2019-03-22,117.05
MSFT,2019-03-25,117.66
MSFT,2019-03-26,117.91
MSFT,2019-03-27,116.77
MSFT,2019-03-28,116.93
MSFT,2019-03-29,117.94
MSFT,2019-04-01,119.02
MSFT,2019-04-02,119.19
MSFT,2019-04-03,119.97
MSFT,2019-04-04,119.36
MSFT,2019-04-05,119.89
MSFT,2019-04-08,119.93
MSFT,2019-04-09,119.28
MSFT,2019-04-10,120.19
MSFT,2019-04-11,120.33
MSFT,2019-04-12,120.95
MSFT,2019-04-15,121.05
MSFT,2019-04-16,120.77
MSFT,2019-04-17,121.77
MSFT,2019-04-22,123.76
MSFT,2019-04-23,125.44
MSFT,2019-04-24,125.01
MSFT,2019-04-25,129.15
MSFT,2019-04-26,129.89
MSFT,2019-04-29,129.77
MSFT,2019-04-30,130.6
MSFT,2019-05-01,127.88
MSFT,2019-05-02,126.21
MSFT,2019-05-03,128.9
MSFT,2019-05-06,128.15
MSFT,2019-05-07,125.52
MSFT,2019-05-08,125.51
MSFT,2019-05-09,125.5
MSFT,2019-05-10,127.13
MSFT,2019-05-13,123.35
MSFT,2019-05-14,124.73
MSFT,2019-05-15,126.02
MSFT,2019-05-16,128.93
MSFT,2019-05-17,128.07
MSFT,2019-05-20,126.22
MSFT,2019-05-21,126.9
MSFT,2019-05-22,127.67
MSFT,2019-05-23,126.18
MSFT,2019-05-28,126.16
MSFT,2019-05-29,124.94
MSFT,2019-05-30,125.73
MSFT,2019-05-31,123.68
MSFT,2019-06-03,119.84
MSFT,2019-06-04,123.16
MSFT,2019-06-05,125.83
MSFT,2019-06-06,127.82
MSFT,2019-06-07,131.4
MSFT,2019-06-10,132.6
MSFT,2019-06-11,132.1
MSFT,2019-06-12,131.49
MSFT,2019-06-13,132.32
MSFT,2019-06-14,132.45
MSFT,2019-06-17,132.85
MSFT,2019-06-18,135.16
MSFT,2019-06-19,135.69
MSFT,2019-06-20,136.95
MSFT,2019-06-21,136.97
MSFT,2019-06-24,137.78
MSFT,2019-06-25,133.43
MSFT,2019-06-26,133.93
MSFT,2019-06-27,134.15
MSFT,2019-06-28,133.96
MSFT,2019-07-01,135.68
MSFT,2019-07-02,136.58
MSFT,2019-07-05,137.06
MSFT,2019-07-08,136.96
MSFT,2019-07-09,136.46
MSFT,2019-07-10,137.85
MSFT,2019-07-11,138.4
MSFT,2019-07-12,138.9
MSFT,2019-07-15,138.9
MSFT,2019-07-16,137.08
MSFT,2019-07-17,136.27
MSFT,2019-07-18,136.42
MSFT,2019-07-19,136.62
MSFT,2019-07-22,138.43
MSFT,2019-07-23,139.29
MSFT,2019-07-24,140.72
MSFT,2019-07-25,140.19
MSFT,2019-07-26,141.34
MSFT,2019-07-29,141.03
MSFT,2019-07-30,140.35
MSFT,2019-07-31,136.27
MSFT,2019-08-01,138.06
MSFT,2019-08-02,136.9
MSFT,2019-08-05,132.21
MSFT,2019-08-06,134.69
MSFT,2019-08-07,135.28
MSFT,2019-08-08,138.89
MSFT,2019-08-09,137.71
MSFT,2019-08-12,135.79
MSFT,2019-08-13,138.6
MSFT,2019-08-14,133.98
MSFT,2019-08-15,133.68
